Foresight Sports: mhutch84 - 12/6/2021 3:44 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
3-Wood, Standard, 154.5, 13.0, 3.2, 2666, -560, -11.9, 2724, 261.8, 281.8, -14.2, 40.9, 36.2, 94.1, 108.5, 1.42, 3.5, 2.9, --, --, --, --, --, --
3-Wood, Standard, 151.6, 3.9, -0.3, 2496, -137, -3.1, 2500, 219.9, 252.7, -7.0, 17.8, 9.9, 122.1, 109.4, 1.39, 3.7, 2.9, --, --, --, --, --, --
3-Wood, Standard, 151.2, 13.9, 5.9, 2903, -350, -6.9, 2924, 253.8, 273.3, 11.0, 43.0, 38.6, 101.9, 109.0, 1.39, 3.1, 2.8, --, --, --, --, --, --
3-Wood, Standard, 156.5, 12.2, 4.5, 4124, 89, 1.2, 4125, 246.1, 261.3, 24.0, 46.3, 41.0, 116.6, 109.7, 1.43, 3.5, 4.3, --, --, --, --, --, --
3-Wood, Standard, 158.6, 11.4, 2.6, 2860, -1258, -23.7, 3124, 255.4, 275.3, -46.7, 39.7, 32.2, 113.3, 109.7, 1.44, 4.0, 4.3, --, --, --, --, --, --
3-Wood, Standard, 157.6, 13.8, 6.3, 3670, -180, -2.8, 3674, 254.5, 270.4, 21.9, 47.0, 44.7, 107.2, 110.2, 1.43, 3.3, 3.8, --, --, --, --, --, --
3-Wood, Standard, 143.0, 14.0, 7.6, 2077, -927, -24.1, 2274, 238.2, 260.4, -13.3, 35.8, 28.8, 115.1, 107.2, 1.33, 3.7, 3.5, --, --, --, --, --, --
3-Wood, Standard, 156.8, 13.4, 4.7, 3546, -154, -2.5, 3549, 255.1, 271.0, 15.6, 46.1, 42.9, 105.0, 109.7, 1.43, 3.3, 2.6, --, --, --, --, --, --
3-Wood, Standard, 154.4, 13.9, 6.4, 4412, 880, 11.3, 4499, 237.1, 250.4, 57.1, 48.4, 43.8, 142.4, 109.0, 1.42, 3.0, 4.0, --, --, --, --, --, --
3-Wood, Standard, 156.1, 10.3, 3.9, 4014, -286, -4.1, 4024, 245.4, 261.4, 7.0, 43.3, 35.2, 113.3, 109.7, 1.42, 3.8, 3.8, --, --, --, --, --, --
3-Wood, Standard, 156.2, 13.9, 4.9, 3721, 162, 2.5, 3725, 251.4, 266.7, 29.3, 47.0, 44.1, 113.2, 110.1, 1.42, 4.1, 4.5, --, --, --, --, --, --
3-Wood, Standard, 156.2, 13.0, 2.6, 2679, -893, -18.4, 2824, 261.1, 280.4, -33.5, 41.1, 36.0, 101.8, 109.3, 1.43, 3.6, 2.1, --, --, --, --, --, --
3-Wood, Standard, 156.9, 11.9, 3.3, 3763, -289, -4.4, 3774, 251.3, 267.1, 3.7, 44.9, 39.3, 107.4, 110.1, 1.43, 3.4, 4.4, --, --, --, --, --, --
3-Wood, Standard, 157.4, 12.6, 1.8, 3138, -624, -11.2, 3199, 259.9, 277.3, -20.9, 43.3, 38.6, 100.2, 109.4, 1.44, 3.6, 3.0, --, --, --, --, --, --
3-Wood, Standard, 155.8, 13.7, 4.9, 3224, 52, 0.9, 3224, 258.6, 275.8, 26.1, 45.0, 42.0, 103.1, 110.0, 1.42, 2.5, 3.3, --, --, --, --, --, --
